Activated dendritic cell,Adipocyte,B cell,B10 Regulatory B cell,Basal gland mucous cell,CD4+ T cell,CD8 T cell,CD8+ T cell,CMP cell,Cancer cell,Cancer stem cell,Central memory T cell,Central memory T cell precursor,Chief cell,Cytotoxic T cell,Cytotoxic cell,Dendritic cell,Diffuse gastric cancer cell,Effector T(Teff) cell,Effector memory T cell,Endocrine cell,Endothelial cell,Enterocyte,Enteroendocrine cell,Eosinophil,Epithelial cell,Exhausted T(Tex) cell,Fibroblast,Gamma delta(¦Ã¦Ä) T cell,Gastric mucous neck cell,Gastric stem cell,Gland mucous cell,Goblet cell,HES1High progenitor cell,Immature dendritic cell,Intestinal gastric cancer cell,Intestinal metaplasia cell,Isthmus cell,Lymph vessel cell,M1 macrophage,M2 macrophage,Macrophage,Mast cell,Metaplastic-stem cell,Monocyte,Mucous pit cell,Multipotent progenitor cell,Myeloid cell,Myeloid dendritic cell,NECK cell,Natural killer CD56 bright cell,Natural killer CD56 dim cell,Natural killer cell,Neck cell,Neutrophil,Paneth cell,Parietal cell,Parietal progenitor cell,Pericyte,Pit cell,Pit mucous cell,Pit progenitor cell,Plasma cell,Proliferative cell,Proliferative cell (PC),Pyloric cell,Regulatory T (Treg) cell,Regulatory T(Treg) cell,Smooth muscle cell,Stem cell,Stem-like cell,T cell,T follicular helper(Tfh) cell,T helper 1(Th1) cell,T helper 17(Th17) cell,T helper 2(Th2) cell,T helper(Th) cell,Zymogenic chief cell
,,DTNB,,,IL7R,GZMM,,,,,NEFL,,,,,,,,,,VWF,,,RRP12,,,COL1A1,,,,,,,CD1E,,,,,,,SULT1C2,SCG2,,,,H2AX,,,,,,LDB3,,FCAR,,,,,,,BCL11A,,,,,,,,,,PRKCQ,CXCR5,ZBTB32,,SMAD2,GOLGA8A,
,,HLA-DOB,,,CD3D,PF4,,,,,TXK,,,,,,,,,,PTPRB,,,TIPARP,,,CXCL14,,,,,,,HS3ST2,,,,,,,SGMS1,ADCYAP1,,,,CDC45,,,,,,CDC5L,,TNFRSF10C,,,,,,,SLC2A4,,,,,,,,,,ITM2A,MAGEH1,CMAHP,,GATA3,ITM2A,
,,FAM30A,,,CD4,MAPKAPK5-AS1,,,,,DOCK9,,,,,,,,,,KDR,,,CAT,,,DCN,,,,,,,CLEC10A,,,,,,,COL8A2,CEACAM8,,,,PTP4A3,,,,,,BCL2,,CXCR1,,,,,,,RASSF3,,,,,,,,,,CD8A,SMAD1,EGFL6,,MB,,
,,OSBPL10,,,PTPRC,THUMPD1,,,,,NFATC3,,,,,,,,,,PLVAP,,,SYNJ1,,,VIM,,,,,,,CH25H,,,,,,,CYBB,TAL1,,,,ZNF354C,,,,,,ADARB1,,SLC25A37,,,,,,,LIMS2,,,,,,,,,,CD4,CDK5R1,,,MICAL2,,
,,SCN3A,,,CD3E,LIME1,,,,,MAP3K1,,,,,,,,,,CD34,,,SMPD3,,,ISLR,,,,,,,FABP4,,,,,,,GPC4,CALB2,,,,SLC25A38,,,,,,ZNF747,,CRISPLD2,,,,,,,CORO1C,,,,,,,,,,NKG7,HEY1,,,CDC25C,,
,,BLK,,,,ZNF91,,,,,PCM1,,,,,,,,,,,,,MYO15B,,,PDPN,,,,,,,,,,,,,,CXCL5,TPSAB1,,,,GPT2,,,,,,TBXA2R,,LILRB2,,,,,,,WIF1,,,,,,,,,,CD3E,ST8SIA1,,,,,
,,GNG7,,,,FLT3LG,,,,,CCR7,,,,,,,,,,,,,TGIF1,,,PDGFRA,,,,,,,,,,,,,,CHIT1,SIGLEC6,,,,MTA1,,,,,,PDLIM4,,MGAM,,,,,,,NRXN3,,,,,,,,,,CD3D,KCNK5,,,,,
,,CR2,,,,GADD45A,,,,,,,,,,,,,,,,,,HES1,,,COL1A2,,,,,,,,,,,,,,CD84,SLC18A2,,,,CASP3,,,,,,TINAGL1,,CD93,,,,,,,HACD1,,,,,,,,,,GZMA,,,,,,
,,BACH2,,,,CDKN2AIP,,,,,,,,,,,,,,,,,,RNASE2,,,CAV1,,,,,,,,,,,,,,PTGDS,TPSAB1,,,,TBC1D15,,,,,,IGFBP5,,G0S2,,,,,,,LAMA5,,,,,,,,,,CD7,,,,,,
,,MEF2C,,,,CAMLG,,,,,,,,,,,,,,,,,,,,,COL1A2,,,,,,,,,,,,,,FN1,CPA3,,,,PPIH,,,,,,XCL1,,CSF3R,,,,,,,CFAP221,,,,,,,,,,KLRB1,,,,,,
,,CD72,,,,SF1,,,,,,,,,,,,,,,,,,,,,COL1A1,,,,,,,,,,,,,,COLEC12,HPGDS,,,,TRAF4,,,,,,NKG7,,CEACAM3,,,,,,,P2RX4,,,,,,,,,,CD2,,,,,,
,,GLDC,,,,KLF9,,,,,,,,,,,,,,,,,,,,,DCN,,,,,,,,,,,,,,DNASE2B,RGS13,,,,PLK4,,,,,,CD3E,,HPSE,,,,,,,TMEM51,,,,,,,,,,CD3D,,,,,,
,,MICAL3,,,,PRR5,,,,,,,,,,,,,,,,,,,,,FAP,,,,,,,,,,,,,,ME1,CLU,,,,PITPNM2,,,,,,,,CD177,,,,,,,SLC24A3,,,,,,,,,,,,,,,,
,,TNFRSF17,,,,CD8A,,,,,,,,,,,,,,,,,,,,,TAGLN,,,,,,,,,,,,,,GM2A,,,,,NUDT8,,,,,,,,,,,,,,,DIXDC1,,,,,,,,,,,,,,,,
,,PNOC,,,,,,,,,,,,,,,,,,,,,,,,,ASPN,,,,,,,,,,,,,,MSR1,,,,,SCARF2,,,,,,,,,,,,,,,SRF,,,,,,,,,,,,,,,,
,,BCL11A,,,,,,,,,,,,,,,,,,,,,,,,,CSPG4,,,,,,,,,,,,,,FDX1,,,,,ANKRD37,,,,,,,,,,,,,,,BARX1,,,,,,,,,,,,,,,,
,,FCRL2,,,,,,,,,,,,,,,,,,,,,,,,,RGS5,,,,,,,,,,,,,,CD14,,,,,PLD1,,,,,,,,,,,,,,,LDB3,,,,,,,,,,,,,,,,
,,ABCB4,,,,,,,,,,,,,,,,,,,,,,,,,ACTA2,,,,,,,,,,,,,,CXCL8,,,,,C2CD2,,,,,,,,,,,,,,,SGCA,,,,,,,,,,,,,,,,
,,QRSL1,,,,,,,,,,,,,,,,,,,,,,,,,PDGFA,,,,,,,,,,,,,,HLA-DRA,,,,,DDX31,,,,,,,,,,,,,,,AK4,,,,,,,,,,,,,,,,
